PLUAD_name;DEP_num;NameEn;NameRus;NameKg;Length;type
RD2;24;Kyzyl Tuu-Sarybulak;Кызыл Туу - Сарыбулак;Кызыл Туу - Сарыбулак;17;loc
RD2;24;Kyzyl Tuu-Shilbili;Кызыл Туу - Шилбили;Кызыл Туу - Шилбили;25;loc
RD2;24;Kyzyl Tuu-Chon Dobo;Кызыл Туу - Чон Добо;Кызыл Туу - Чон Добо;12;loc
RD2;24;Diykan-Kolmo;Дыйкан - Колмо;Дыйкан - Колмо;30;loc
RD3;6;Diykan-Moldo Ashuu;Дыйкан - Молдо Ашуу;Дыйкан - Молдо Ашуу;49;loc
RD3;6;Kaiyrma-Kolmo-Kara Keche;Кайырма - Колмо - Кара Кече;Кайырма - Колмо - Кара Кече;75;loc
RD3;6;Chetkuugandy-Chayek-Kara Keche;Четкууганды - Чаек - Кара Кече;Четкууганды - Чаек - Кара Кече;55;loc
RD3;6;Sarybulun-Ak Kol;Сарыбулун - Ак Кол;Сарыбулун - Ак Кол;10;loc
RD3;6;Sarybulun-Ornok;Сарыбулун - Орнок;Сарыбулун - Орнок;15;loc
RD3;6;Sarybulun-Ornok-Saryka;Сарыбулун - Орнок - Сарыка;Сарыбулун - Орнок - Сарыка;45;loc
RD3;6;Alamedin Arashan - Koi Tash ;Аламедин Арашан - Койташ;Аламедин Арашан - Койташ;19,4;nat
RD3;6;Bishkek- Koi Tash -Issyk Ata ;Бишкек - Койташ - Ыссык Ата;Бишкек - Койташ - Ыссык Ата;43,6;nat
RD3;6;Chong Kurchak-Ala Archa ;Чонкурчак - АлаАрча;Чонкурчак - АлаАрча;21;loc
RD3;6;Kashka Suu - Dom Otdyha;Кашка Суу - Дом отдыха;Кашка Суу - Дом отдыха;3;loc
RD3;6;Arashan-Chon Kurchak ;Арашан - Чонкурчак;Арашан - Чонкурчак;22;loc
RD3;6;Lebedinovka-Kok Jar ;Лебединовка - Кок Жар;Лебединовка - Кок Жар;10,3;loc
RD3;6;Koi Tash- Uzun Kyr ;Кой Таш - Узун Кыр;Кой Таш - Узун Кыр;12;loc
RD3;6;Podkhoz- Dom Otdyha-Chon Tash ;Подхоз - Дом отдыха - Чон Таш;Подхоз - Дом отдыха - Чон Таш;5;loc
RD3;6;Archaly-Shorolo ;Арчалы - Шороло;Арчалы - Шороло;10;loc
RD3;6;Orto Sai-Kok Jar ;Орто Сай - Кок Жар;Орто Сай - Кок Жар;5;loc
RD3;6;Chong-Arik-Pionerlager ;Чон Арык - Пионерлагерь;Чон Арык - Пионерлагерь;3;loc
RD3;6;Kok Jar-Ala Too ;Кок Жар - Ала Тоо;Кок Жар - Ала Тоо;7,5;loc
RD3;6;Alplager-Ala-Archa pass.;Альплагерь - перевал Ала Арча;Альплагерь - перевал Ала Арча;12;loc
RD3;6;Kara Dzhigach-Kyzyl Birlik ;Кара Жигач - Кызыл Бирлик;Кара Жигач - Кызыл Бирлик;10;loc
RD3;6;Vostok-Mazar Suu ;Восток - Мазар Суу;Восток - Мазар Суу;1,4;loc
RD3;6;Arashan-Bosboltok ;Арашан - Босболток;Арашан - Босболток;2;loc
RD3;6;Kara Dzhigach-Besh Kungoi ;Кара Жыгач - Беш Кунгей;Кара Жыгач - Беш Кунгей;6,1;loc
RD3;6;Uch-Emchek Tash-Bashat ;Уч Эмчек - Таш Башат;Уч Эмчек - Таш Башат;4;loc
RD3;19;Almaluu-upper Ichke Suu;Алмалуу - верхний Ичке Суу;Алмалуу - верхний Ичке Суу;4;loc
RD3;19;Myrzake-Karakulja-Alaiku;Мырзыке - Каракулжа - Алайку;Мырзыке - Каракулжа - Алайку;138;inter
