PLUAD_name;DEP_num;Road_num;NameEn;NameRus;NameKg;Length;NumberOfBridge;type;
RD3;6;12;Kok Say - Archagul;Кок Сай - Арчагуль;Кок Сай - Арчагуль;3;;loc;
RD3;6;13;Oygain - Babakhan;Ойгайын - Бабахан;Ойгайын - Бабахан;39;;loc;
RD3;6;14;Amanbayeva - Oktyabrskoye;Аманбаева - Октябрьское;Аманбаева - Октябрьское;3;;loc;
RD3;6;15;Sheker - Archagul;Шекер - Арчагуль;Шекер - Арчагуль;8;;loc;
RD3;6;16;Kok Say - Sary Unkur;Кок Сай - Сары Ункур;Кок Сай - Сары Ункур;3;;loc;
RD3;6;17;Gosdoroga Kok Dobo;Госдорога Кок Добо;Госдорога Кок Добо;3;;loc;
RD3;6;18;Access road to Chimkent;Подъездная дорога к Шымкенту;Подъездная дорога к Шымкенту;3,4;;loc;
RD3;6;19;Klyuchovka - May - Bakiyan;Ключовка - Май - Бакиян;Ключовка - Май - Бакиян;4,5;;loc;
RD3;6;20;Gosdoroga - Sarymsak;Госдорога - Сарымсак;Госдорога - Сарымсак;17;;loc;
RD3;19;1;Taraz - Talas - Suusamyr;Тараз -Талас - Суусамыр;Тараз -Талас - Суусамыр;28,5;2;int;
RD3;19;4;Talas - Beshtash;Талас - Бешташ;Талас - Бешташ;76;3;nat;
RD3;19;5;Talas - Nyldy - Pokrovka;Талас - Нылды - Покровка;Талас - Нылды - Покровка;43;1;nat;
RD3;19;6;"Kyzyl Tuu ""Manas ordo""";"Кызыл Туу - ""Манас ордо""";"Кызыл Туу - ""Манас ордо""";3,4;3;nat;
RD3;19;7;Talas - Bakaiata;Талас - Бакай Ата;Талас - Бакай Ата;8;0;nat;
RD3;19;8;Kokoy - Kyzyltuu - Kumbez Manas;Кокой - Кызылтуу - Кумбез Манаса;Кокой - Кызылтуу - Кумбез Манаса;12,6;1;nat;
RD3;19;21;Nyldy - Chyrkanak;Нылды - Чырканак;Нылды - Чырканак;25;;loc;
RD3;19;22;Tasharyk - Akzhar;Ташарык - Акжар;Ташарык - Акжар;6;;loc;
RD3;19;23;"""Manas ordo"" - Ken Kol";"""Манас ордо "" - Кен Кол";"""Манас ордо "" - Кен Кол";31;;loc;
RD3;19;24;Gosdoroga - Chon Chychkan;Госдорога - Чон Чычкан;Госдорога - Чон Чычкан;24;;loc;
RD3;19;25;Zhergetal - Kalba;Жергетал - Калба;Жергетал - Калба;26;;loc;
RD3;19;26;Kozuchak - Televyshka;Козучак - Телевышка;Козучак - Телевышка;6;;loc;
RD3;19;27;Access road to Ogombayev v.;Подъездная дорога к селу Огомбаев;Подъездная дорога к селу Огомбаев;3;;loc;
RD3;19;28;Talas - Balbal - Kozuchak;Талас - Балбал - Козучак;Талас - Балбал - Козучак;8;;loc;
RD3;19;29;Access road to Aral v.;подъездная дорога к селу Арал;подъездная дорога к селу Арал;2;;loc;
RD3;19;30;Access road to Karaoy v.;подъездная дорогак селу Караой;подъездная дорогак селу Караой;3;;loc;
RD3;36;1;Taraz - Talas - Suusamyr;Тараз - Талас - Суусамыр;Тараз - Талас - Суусамыр;11;3;int;
RD3;36;2; Suusamyr- Talas - Taraz;Суусамыр - Талас - Тараз;Суусамыр - Талас - Тараз;73;0;int;
RD3;36;31;Chatbazar-Aral-Taldybulak;Чатбазар - Арал - Талдыбулак;Чатбазар - Арал - Талдыбулак;50;;loc;
RD3;36;32;Kopurobazar - Karakol;Копуробазар - Каракол;Копуробазар - Каракол;60;;loc;
RD3;36;33;Konezavod - Taldybulak;Конезавод - Талдыбулак;Конезавод - Талдыбулак;20;;loc;
RD3;36;34;Konezavod - Ortokoshoy;Конезавод - Ортокошой;Конезавод - Ортокошой;20;;loc;
RD3;36;35;Konezavod - Chonkoshoy;Конезавод - Чонкошой;Конезавод - Чонкошой;20;;loc;
RD3;36;36;Konezavod - Sandyk;Конезавод - Сандык;Конезавод - Сандык;15;;loc;
RD3;36;37;Kommun - Chonor - Lugovoye;Коммун - Чонор - Луговое;Коммун - Чонор - Луговое;37;;loc;
RD3;47;1;Taraz - Talas - Suusamyr;Тараз - Талас - Суусамыр;Тараз - Талас - Суусамыр;34,5;3;int;
RD3;47;9;Talas - Kalinin - Bakaiata;Талас - Калинин - Бакай Ата;Талас - Калинин - Бакай Ата;30;4;nat;
RD3;47;38;Klyuchevka - May - Bakyyan;Ключевка - Май - Бакыян;Ключевка - Май - Бакыян;13,5;;loc;
RD3;47;39;Kenaral - Kalinin;Кенерал - Калинин;Кенерал - Калинин;5;;loc;
RD3;47;40;Bakaiata - Namatbek;Бакай Ата - Наматбек;Бакай Ата - Наматбек;4;;loc;
RD3;47;41;Bakaiata - Uchemchek;Бакай Ата - Учэмчек;Бакай Ата - Учэмчек;12;;loc;
RD3;47;42;Minbulak - Namatbek;Минбулак - Наматбек ;Минбулак - Наматбек ;6;;loc;
RD3;47;43;Kyzyloktyabr - Koktash;Кызыл Октябрь - Кокташ;Кызыл Октябрь - Кокташ;6;;loc;
RD3;47;44;Ozgorush - Nyldy;Озгоруш - Нылды;Озгоруш - Нылды;11;;loc;
RD3;47;45;Kumushtash stow;Урочище Кумушташ;Урочище Кумушташ;48;;loc;
RD3;47;46;Urmaral stow;Урочище Урмарал;Урочище Урмарал;30;;loc;
RD3;47;47;Karakoyun stow;Урочище Каракоюн;Урочище Каракоюн;15;;loc;
RD3;47;48;Tabylgyty stow;Урочище Табылгыты;Урочище Табылгыты;15;;loc;
RD3;47;49;Chiyimtash stow;Урочище Чыйымташ;Урочище Чыйымташ;4;;loc;
RD3;47;50;Bakaiata - Kumushtak stow;Бакай Ата - Урочище Кумуштак;Бакай Ата - Урочище Кумуштак;10;;loc;
RD3;48;1;Taraz - Talas - Suusamyr;Тараз - Талас - Суусамыр;Тараз - Талас - Суусамыр;19;0;int;
RD3;48;10;Talas - Pokrovka - Kaiyndy;Талас - Покровка - Кайнды;Талас - Покровка - Кайнды;31;6;nat;
RD3;48;51;Pokrovka - Balasaruu;Покровка - Баласаруу;Покровка - Баласаруу;10;;loc;
RD3;48;52;Manas - Novodonetsk;Манас - Новодонекц;Манас - Новодонекц;11;;loc;
RD3;48;53;Uch-Korgon;Уч Коргон;Уч Коргон;7;;loc;
RD3;48;54;Pokrovka - MTF;Покровка - МТФ;Покровка - МТФ;5;;loc;
RD3;48;55;Pokrovka - Zhaiylgan - Minteke;Покровка - Жайылган - Минтеке;Покровка - Жайылган - Минтеке;38;;loc;
RD3;48;56;Karaarcha;Караарча;Караарча;8;;loc;
RD3;48;57;PRP;ПРП;ПРП;5;;loc;
RD3;48;58;Nyldy - Achyktash;Нылды - Ачыкташ;Нылды - Ачыкташ;22;;loc;
RD3;48;59;Chon Kapka - Aktash - Mayskoye ;Чон Капка - Акташ - Майское;Чон Капка - Акташ - Майское;16;;loc;
RD3;48;60;Gr.Plotina - pov.s.Pokrovka;Плотина - Покровка;Плотина - Покровка;8;;loc;
RD3;48;61;Manas road;трасса Манас;трасса Манас;3;;loc;
RD3;48;62;Syogot road;трасса Сыйгот;трасса Сыйгот;3;;loc;
RD3;48;63;Uchkorgon road;трасса Учкоргон;трасса Учкоргон;4;;loc;
RD3;48;64;Sarybulak road;трасса Сарыбулак;трасса Сарыбулак;3;;loc;
RD4;3;1;Balykchi-Bokonbaevo-Karakol 124-150km ;Балыкчы - Боконбаево - Каракол 124-150 км;Балыкчы - Боконбаево - Каракол 124-150 км;26;5;int;
RD4;3;4;Barskoon-Ak Shiyrak 0-208km;Барскоон - Ак Шыйрак 0-208 км;Барскоон - Ак Шыйрак 0-208 км;163;6;int;
RD4;3;1;Sook-Karakolka-Kurmontu 0-95km;Соок - Караколка - Курмонту 0-95 км;Соок - Караколка - Курмонту 0-95 км;95;3;nat;
RD4;3;1;Gosdoroga Barskoon-Tamga ;госдорога Барскоон - Тамга;госдорога Барскоон - Тамга;11;;loc;
RD4;3;2;"Gosdoroga resort ""CABO""";"госдорога Дом отдыха ""САВО""";"госдорога Дом отдыха ""САВО""";2;;loc;
RD4;4;2;Balykchi-Ananyevo-Karakol 156-207 ;Балыкчы - Ананьево - Каракол 156-207 км;Балыкчы - Ананьево - Каракол 156-207 км;51;4;int;
RD4;4;3;Tup-Kegen;Тюп - Кеген;Тюп - Кеген;76;17;int;
RD4;4;2;Mikhailovka-Nikolayevka-Sary Tologoi;Михайловка - Николаевка - Сары Тологой;Михайловка - Николаевка - Сары Тологой;82;4;nat;
RD4;4;3;Karkyra-Turuk-Sary Jaz;Каркыра - Турук - Сары Жаз;Каркыра - Турук - Сары Жаз;80;4;nat;
RD4;4;4;Cemzavod-Kurmontu-Pristan';Цемзавод - Курмонту - Пристань;Цемзавод - Курмонту - Пристань;8;1;nat;
RD4;4;3;Dolon-Kosh Dobo-Min Bulak;Долон - Кош Добо - Мин Булак;Долон - Кош Добо - Мин Булак;13;;loc;
RD4;4;4;Kara Suu-Tasma-Chon Toguzbay;Кара Суу - Тасма - Чон Тогузбай;Кара Суу - Тасма - Чон Тогузбай;7;;loc;
RD4;4;5;Taldy Suu-Aral;Талды Суу - Арал;Талды Суу - Арал;10;;loc;
RD4;4;6;Tup-Shaty-Taldy Suu;Тюп - Шаты - Талды Суу;Тюп - Шаты - Талды Суу;17;;loc;
RD4;4;7;Sary Tologoy-Chon Bulak;Сары Тологой - Чон Булак;Сары Тологой - Чон Булак;20;;loc;
RD4;4;8;Turuk-Zhaak;Турук - Жаак;Турук - Жаак;20;;loc;
RD4;4;9;Shaty-Sarybulak;Шаты - Сарыбулак;Шаты - Сарыбулак;7;;loc;
RD4;4;10;Tup-Pritsan';Тюп - Пристань;Тюп - Пристань;3;;loc;
RD4;4;11;Belovodsk-agricultural Tekhnikum;Беловодск - Аграрный техникум;Беловодск - Аграрный техникум;3;;loc;
RD4;4;12;Ken Suu-leskhoz;Кен Суу - Лесхоз;Кен Суу - Лесхоз;6;;loc;
RD4;4;13;Zhylanach-Arpa Tektir;Жаланач - Арпа Тектир;Жаланач - Арпа Тектир;30;;loc;
RD4;4;14;Dongolok-Saz-Slivpunkt;Донголок - Саз - Сливпункт;Донголок - Саз - Сливпункт;13;;loc;
RD4;4;15;3-ferma - Chymyndy Say;3 ферма - Чымынды Сай;4 ферма - Чымынды Сай;22;;loc;
RD4;4;16;Mikhailovka-Nikolayevka;Михайловка - Николаевка;Михайловка - Николаевка;10;;loc;
